"","n_","estado","obpp","codigo_proyecto","codigo_situr","fecha_de_carga_al_drive","motivo_1","motivo_2","motivo_3","motivo_4","motivo_5","codigo_de_comunicacion_enviada_informacion_atencion_al_ciudadano_","observaciones_oac_","observaciones_operaciones_","observaciones_direccion_territorial_","estandar","respondida","codigo_valido","clave","estatus_valido"
"1",1097,"GUÁRICO","TIERRA DE GRACIA","CCO-21-10-06-00002","CC-URB-2018-05-00011",2021-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"No respondida",TRUE,"CCO-21-10-06-00002 - 1097",FALSE
"2",1640,"ZULIA","POLAR III","CCO-21-21-18-00016","23-17-03-001-0020",2021-03-26,"acta cargada no refleja las firma de los asistentes","05 08 01 001 0001","acta de asamblea cargada en sistema carece de nitidez",NA,NA,NA,NA,NA,NA,FALSE,"No respondida",TRUE,"CCO-21-21-18-00016 - 1640",TRUE
"3",1651,"MIRANDA","COMUNIDAD REVOLUCIONARIA EZEQUIEL ZAMORA","CCO-21-13-02-00003","15-04-02-001-0026",2021-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"No respondida",TRUE,"CCO-21-13-02-00003 - 1651",TRUE
"4",1671,"DISTRITO CAPITAL","EL PORTILLO 2021","CCO-21-01-01-00059","01-01-02-001-0028",2021-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"No respondida",TRUE,"CCO-21-01-01-00059 - 1671",TRUE
"5",1675,"ARAGUA","BAHIA DE CHUAO","CCO-21-04-02-00063","05-11-01-001-0026",2021-03-29,"numero de registro de informacion fiscal rif cargada en sistema no coincide con el acta","la categoria y subcategoria no coinciden con el proyecto",NA,NA,NA,NA,NA,NA,NA,FALSE,"No respondida",TRUE,"CCO-21-04-02-00063 - 1675",TRUE
"6",1677,"GUÁRICO","caraquita","CCO-21-10-07-00009","12-15-01-059-0000",2021-03-29,"el acta de asamblea tiene fecha de 18 02 2021 la misma se repite en la convocatoria debe ser posterior a la de la asamblea ",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"No respondida",TRUE,"CCO-21-10-07-00009 - 1677",TRUE
"7",1679,"GUÁRICO","EL CEMENTERIO","CCO-21-10-07-00021","12-15-01-001-0030",2021-03-29,"acta de asamblea no refleja informacion de los voceros","el codigo situr en acta no coincide con el registrado en el sistema","numero de registro de informacion fiscal rif cargada en sistema no coincide con el acta","acta no indica correos de los voceros","acta no refleja datos de la cuenta bancaria",NA,NA,NA,NA,FALSE,"No respondida",TRUE,"CCO-21-10-07-00021 - 1679",TRUE
"8",1683,"ARAGUA","LOS OLIVOS NUEVOS SECTOR C","CCO-21-04-01-00024","05-03-04-001-0010",2021-03-29,"numero de registro de informacion fiscal rif cargada en sistema no coincide con el acta","acta no refleja datos de la cuenta bancaria","datos de voceria no coinciden con el acta","la categoria y subcategoria no coinciden con el proyecto",NA,NA,NA,NA,NA,FALSE,"No respondida",TRUE,"CCO-21-04-01-00024 - 1683",TRUE
"9",1684,"TACHIRA","MESA FRESCA","CCO-21-18-09-00006","20-28-02-001-0003",2021-03-29,"numero de registro de informacion fiscal rif cargada en sistema no coincide con el acta",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"No respondida",TRUE,"CCO-21-18-09-00006 - 1684",TRUE
"10",1688,"ARAGUA","BRISAS DEL LAGO POLIGONAL NORTE SECTOR 2 NORTE (SIN NOMBRE COMERCIAL)","CCO-21-04-01-00030","05-03-08-001-0004",2021-03-29,"numero de registro de informacion fiscal rif cargada en sistema no coincide con el acta",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"No respondida",TRUE,"CCO-21-04-01-00030 - 1688",TRUE
"11",1691,"ARAGUA","COMUNIDAD UNIDA BARRIO INDEPENDENCIA","CCO-21-04-01-00035","05-03-04-001-0016",2021-03-29,"titulo no coincide con el acta","numero de registro de informacion fiscal rif cargada en sistema no coincide con el acta","dominio del correo no es valido","acta no refleja datos de la cuenta bancaria",NA,NA,NA,NA,NA,FALSE,"No respondida",TRUE,"CCO-21-04-01-00035 - 1691",TRUE
"12",1693,"ARAGUA","RESIDENCIAS MERIDA I","CCO-21-04-01-00037","05-03-08-001-0000",2021-03-29,"cuenta bancaria registrada no coincide con lo reportado en el acta","numero de registro de informacion fiscal rif cargada en sistema no coincide con el acta","datos de voceria no coinciden con el acta","el codigo situr en acta no coincide con el registrado en el sistema","correos cargados en el sistema no coinciden con los correos del acta",NA,NA,NA,NA,FALSE,"No respondida",TRUE,"CCO-21-04-01-00037 - 1693",TRUE
"13",1724,"PORTUGUESA","SIMÓN RODRÍGUEZ (NO INDICA)","CCO-21-16-06-00005","18-08-01-001-0075",2021-03-30,"titulo no coincide con el acta","monto registrado no coincide con el acta","numero de registro de informacion fiscal rif cargada en sistema no coincide con el acta","cuenta bancaria registrada no coincide con lo reportado en el acta","acta cargada no refleja las firma de los asistentes",NA,NA,"ESTA EN PREVALUACIÓN",NA,FALSE,"No respondida",TRUE,"CCO-21-16-06-00005 - 1724",TRUE
"14",1725,"PORTUGUESA","EL MAMON (NO INDICA)","CCO-21-16-06-00003","18-08-04-001-0004",2021-03-30,"numero de registro de informacion fiscal rif cargada en sistema no coincide con el acta",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"No respondida",TRUE,"CCO-21-16-06-00003 - 1725",TRUE
