"","n_","estado","obpp","codigo_proyecto","codigo_situr","fecha_de_carga_al_drive","motivo_1","motivo_2","motivo_3","motivo_4","motivo_5","codigo_de_comunicacion_enviada_informacion_atencion_al_ciudadano_","observaciones_oac_","observaciones_operaciones_","observaciones_direccion_territorial_","estandar","respondida","codigo_valido","clave","estatus_valido"
"1",1097,"GUÁRICO","TIERRA DE GRACIA","CCO-21-10-06-00002","CC-URB-2018-05-00011",2021-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"No respondida",TRUE,"CCO-21-10-06-00002 - 1097",FALSE
"2",1468,"ARAGUA","SAN ROMAN","CCO-21-04-17-00065","05-17-01-001-0015",2021-03-23,"monto registrado no coincide con el acta",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-04-17-00065 - 1468",FALSE
"3",1478,"GUARICO","REVOLUCIONARIA PRODUCTIVA AVANZADORES EN LIBERTAD FLORES DEL TORUNO","COM-21-10-06-00001","C-MIX-2015-01-0008",2021-03-23,"acta no indica correos de los voceros",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"COM-21-10-06-00001 - 1478",FALSE
"4",1479,"ARAGUA","EL CARMEN 2","CCO-21-04-08-00011","05-16-01-001-0086",2021-03-23,"ubicacion geografica esta errada",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-04-08-00011 - 1479",FALSE
"5",1489,"ARAGUA","EN HONOR AL LÃDER","CCO-21-04-13-00057","CC-URB-2014-05-00132",2021-03-23,"la categoria y subcategoria no coinciden con el proyecto","ubicacion geografica esta errada","acta incompleta",NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-04-13-00057 - 1489",FALSE
"6",1496,"GUARICO","URB FRANCISCO DE MIRANDA","CCO-21-10-07-00010","12-15-01-001-0000",2021-03-23,"imagen adjunto no corresponde al acta","acta de asamblea no refleja informacion de los voceros",NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-10-07-00010 - 1496",FALSE
"7",1503,"SUCRE","AGROTURISTICA ANTONIO JOSE DE SUCRE","COM-21-17-08-00001","19-13-0003",2021-03-20,"acta no refleja datos de la cuenta bancaria",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"COM-21-17-08-00001 - 1503",FALSE
"8",1506,"ANZOATEGUI","SAPACEM","CCO-21-02-02-00007","03-02-01-001-0007",2021-03-22,"acta incompleta","dominio del correo no es valido",NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-02-02-00007 - 1506",FALSE
"9",1510,"ARAGUA","CARIDAD DEL COBRE II","CCO-21-04-17-00009","05-17-01-001-0005",2021-03-23,"la categoria y subcategoria no coinciden con el proyecto",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-04-17-00009 - 1510",FALSE
"10",1511,"FALCON","SOCIALISTA CIUDAD DE DIOS","COM-21-09-09-00002","11-13-0006",2021-03-23,"acta no indica correos de los voceros",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"COM-21-09-09-00002 - 1511",FALSE
"11",1512,"ARAGUA","SOCIALISTA LOS COCOS POLIGONAL 7","CCO-21-04-01-00021","05-03-06-001-0038",2021-03-23,"acta no refleja datos de la cuenta bancaria","la categoria y subcategoria no coinciden con el proyecto",NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-04-01-00021 - 1512",FALSE
"12",1526,"MIRANDA","LA AMISTAD","CCO-21-13-14-00001","CC-URB-2014-10-00044",2021-03-23,"acta incompleta","la foto no muestra el sitio de ejecucion del proyecto",NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-13-14-00001 - 1526",FALSE
"13",1532,"TRUJILLO","PODER DEL PUEBLO","CCO-21-19-07-00022","21-20-02-001-0004",2021-03-23,"incoherencia entre titulo y descripcion del proyecto",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-19-07-00022 - 1532",FALSE
"14",1535,"LARA","MAISANTA","CCO-21-11-02-00009","13-03-03-K52-0000",2021-03-23,"monto registrado no coincide con el acta",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-11-02-00009 - 1535",FALSE
"15",1540,"TACHIRA","COMUNA PARA TODOS","CCO-21-18-04-00010","CC-URB-2018-10-00009",2021-03-23,"acta no visible",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-18-04-00010 - 1540",FALSE
"16",1543,"TACHIRA","CUCHILLA DE CRISTALES","CCO-21-18-22-00002","20-24-01-076-00002",2021-03-23,"dominio del correo no es valido","acta no refleja datos de la cuenta bancaria",NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-18-22-00002 - 1543",FALSE
"17",1547,"ARAGUA","EN HONOR AL LÃDER","CCO-21-04-13-00057","CC-URB-2014-05-00132",2021-03-24,"la categoria y subcategoria no coinciden con el proyecto",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-04-13-00057 - 1547",FALSE
"18",1548,"CARABOBO","BELLA VISTA II","CCO-21-07-09-00007","08-14-04-001-0179",2021-03-24,"acta incompleta","acta de asamblea cargada en sistema carece de nitidez",NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-07-09-00007 - 1548",FALSE
"19",1556,"ARAGUA","SOCIALISTA LOS COCOS POLIGONAL 7","CCO-21-04-01-00021","05-03-06-001-0038",2021-03-24,"acta no refleja datos de la cuenta bancaria",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-04-01-00021 - 1556",FALSE
"20",1558,"ARAGUA","URB. LA LLOVIZNA","CCO-21-04-02-00006","CC-URB-2014-12-00059",2021-03-24,"correos cargados en el sistema no coinciden con los correos del acta",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-04-02-00006 - 1558",FALSE
"21",1561,"ARAGUA","LA VEGA","CCO-21-04-02-00043","05-11-03-001-0005",2021-03-24,"acta no indica monto del proyecto",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-04-02-00043 - 1561",FALSE
"22",1566,"MERIDA","SAN PEDRO","CCO-21-12-19-00005","14-21-04-003-0002",2021-03-24,"acta de asamblea cargada en sistema carece de nitidez","monto registrado no coincide con el acta","dominio del correo no es valido",NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-12-19-00005 - 1566",FALSE
"23",1583,"MERIDA","ARIZONA","CCO-21-12-20-00004","14-22-03-K89-0000",2021-03-24,"imagen adjunto no corresponde al acta","ubicacion geografica esta errada",NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-12-20-00004 - 1583",FALSE
"24",1584,"MERIDA","EL KAIRO","CCO-21-12-20-00008","14-22-01-001-0004",2021-03-24,"monto registrado no coincide con el acta","correos cargados en el sistema no coinciden con los correos del acta",NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-12-20-00008 - 1584",FALSE
"25",1587,"MONAGAS","ANTONIO JOSE DE SUCRE","CCO-21-14-06-00007","16-07-01-001-0011",2021-03-24,"datos de voceria no coinciden con el acta",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-14-06-00007 - 1587",FALSE
"26",1591,"GUARICO","SANTA ANA DE MANIRAL","CCO-21-10-01-00011","12-05-01-095-0000",2021-03-25,"la categoria y subcategoria no coinciden con el proyecto",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-10-01-00011 - 1591",FALSE
"27",1593,"MERIDA","CAPIU LA PICA ALTA","CCO-21-12-20-00015","14-22-03-A87-0002",2021-03-25,"monto registrado no coincide con el acta",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-12-20-00015 - 1593",FALSE
"28",1598,"GUÁRICO","EL PERRO","CCO-21-10-03-00018","12-08-01-001-0056",2021-03-25,"titulo no coincide con el acta",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-10-03-00018 - 1598",FALSE
"29",1600,"FALCON","LA RADAL","CCO-21-09-09-00010","11-13-01-001-0002",2021-03-23,"monto registrado no coincide con el acta",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-09-09-00010 - 1600",FALSE
"30",1602,"MERIDA","EL KAIRO","CCO-21-12-20-00008","14-22-01-001-0004",2021-03-25,"acta incompleta","acta no indica monto del proyecto",NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-12-20-00008 - 1602",FALSE
"31",1615,"TACHIRA","ALDEA ALTO DEL NIÑO","CCO-21-18-22-00005","20-24-01-001-0000",2021-03-25,"acta no refleja datos de la cuenta bancaria","monto registrado no coincide con el acta",NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-18-22-00005 - 1615",FALSE
"32",1619,"GUARICO","SAMAN DE PORTUGUESA","CCO-21-10-08-00034","12-01-01-001-0012",2021-03-26,"monto registrado no coincide con el acta","acta cargada no refleja las firma de los asistentes",NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-10-08-00034 - 1619",FALSE
"33",1646,"PORTUGUESA","CENTRO A EL MORRO LAS MAJAGUAS","CCO-21-16-13-00006","18-11-03-030-0000",2021-03-26,"datos de voceria no coinciden con el acta",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No respondida",TRUE,"CCO-21-16-13-00006 - 1646",FALSE
