"id","correlativo","asunto_id2/name","codigo_situr","state","create_date"
"__export__.ept_com_comunicaciones_21179","SINCO/E/2021-0000018504","PROBLEMAS POR CUENTAS BANCARIAS DE OBPP BLOQUEADAS Y CAMBIO DE CUENTA","15-19-02-001-0024","Enviado","2021-05-14 19:35:53"
"__export__.ept_com_comunicaciones_21178","SINCO/E/2021-0000018503","CAMBIO DE VOCERIA RESPONSABLE DEL PROYECTO","09-09-01-Q72-0000","Por Confirmar","2021-05-14 18:58:24"
"__export__.ept_com_comunicaciones_21177","SINCO/E/2021-0000018502","PROCEDIMIENTO PARA EL CAMBIO DE CORREO ELECTRÓNICO","15-19-02-001-0024","Respondido","2021-05-14 18:51:13"
"__export__.ept_com_comunicaciones_21176","SINCO/E/2021-0000018501","DIFICULTAD PARA ADJUNTAR UN DOCUMENTO","13-09-03-001-0013","Respondido","2021-05-14 17:50:42"
"__export__.ept_com_comunicaciones_21174","SINCO/E/2021-0000018500","PROCESO DE VALORACION DEL PROYECTO","20-18-01-001-0041","Enviado","2021-05-14 17:30:02"
"__export__.ept_com_comunicaciones_21155","SINCO/E/2021-0000018485","CAMBIO DE VOCERIA RESPONSABLE DEL PROYECTO","12-08-01-020-0000","Respondido","2021-05-13 22:59:19"
"__export__.ept_com_comunicaciones_21152","SINCO/E/2021-0000018483","PROCESO DE VALORACION DEL PROYECTO","03-02-01-M70-0000","Enviado","2021-05-13 19:32:06"
"__export__.ept_com_comunicaciones_21150","SINCO/E/2021-0000018482","CAMBIO DE VOCERIA RESPONSABLE DEL PROYECTO","21-20-01-001-0010","Respondido","2021-05-13 19:23:46"
"__export__.ept_com_comunicaciones_21148","SINCO/E/2021-0000018480","CAMBIO DE VOCERIA RESPONSABLE DEL PROYECTO","CC-URB-2015-12-00025","Respondido","2021-05-13 18:01:48"
"__export__.ept_com_comunicaciones_21147","SINCO/E/2021-0000018479","CAUSAS DE LA CANCELACION  DEL PROYECTO POR EL FCI","12-04-01-001-0019","Por Confirmar","2021-05-13 17:53:56"
"__export__.ept_com_comunicaciones_21146","SINCO/E/2021-0000018478","PROBLEMAS POR CUENTAS BANCARIAS DE OBPP BLOQUEADAS Y CAMBIO DE CUENTA","06-03-01-001-0020","Enviado","2021-05-13 17:29:55"
"__export__.ept_com_comunicaciones_21143","SINCO/E/2021-0000018475","SOLICITUD DE ACTIVACION USUARIO SINCO","CC-RUR-2016-06-00019","Respondido","2021-05-13 15:09:06"
"__export__.ept_com_comunicaciones_21142","SINCO/E/2021-0000018474","SOLICITUD DE ACTIVACION USUARIO SINCO","14-04-01-001-0005","Por Confirmar","2021-05-13 14:49:17"
"__export__.ept_com_comunicaciones_21141","SINCO/E/2021-0000018473","DIFICULTAD PARA EDITAR UN CAMPO EN EL MODULO DE  REGISTRAR","14-04-01-001-0005","Respondido","2021-05-13 14:29:46"
"__export__.ept_com_comunicaciones_21140","SINCO/E/2021-0000018472","CAMBIO DE VOCERIA RESPONSABLE DEL PROYECTO","23-17-03-001-0000","Respondido","2021-05-13 13:50:11"
"__export__.ept_com_comunicaciones_21138","SINCO/E/2021-0000018470","DIFICULTAD PARA EDITAR UN CAMPO EN EL MODULO DE  REGISTRAR","14-04-01-001-0005","Respondido","2021-05-13 12:24:33"
"__export__.ept_com_comunicaciones_21137","SINCO/E/2021-0000018469","CAMBIO DE VOCERIA RESPONSABLE DEL PROYECTO","21-09-04-055-0001","Respondido","2021-05-13 02:34:08"
"__export__.ept_com_comunicaciones_21135","SINCO/E/2021-0000018468","PROCESO DE VALORACION DEL PROYECTO","14-04-01-030-0000","Respondido","2021-05-13 02:03:20"
"__export__.ept_com_comunicaciones_21134","SINCO/E/2021-0000018467","PROCESO DE VALORACION DEL PROYECTO","14-04-01-027-0000","Respondido","2021-05-12 22:48:29"
"__export__.ept_com_comunicaciones_21133","SINCO/E/2021-0000018466","CAUSAS DE LA CANCELACION  DEL PROYECTO POR EL FCI","12-04-01-085-0001","Respondido","2021-05-12 19:08:24"
"__export__.ept_com_comunicaciones_21132","SINCO/E/2021-0000018465","DIFICULTAD PARA EDITAR UN CAMPO EN EL MODULO DE  REGISTRAR","03-12-02-001-0008","Respondido","2021-05-12 17:19:28"
"__export__.ept_com_comunicaciones_21131","SINCO/E/2021-0000018464","PROCEDIMIENTO PARA EL CAMBIO DE CORREO ELECTRÓNICO","C-MIX-2015-04-0022","Respondido","2021-05-12 16:38:34"
"__export__.ept_com_comunicaciones_21129","SINCO/E/2021-0000018462","SOLICITUD DE ACTIVACION USUARIO SINCO","C-MIX-2015-04-0022","Respondido","2021-05-12 15:45:22"
"__export__.ept_com_comunicaciones_21128","SINCO/E/2021-0000018461","CAMBIO DE VOCERIA RESPONSABLE DEL PROYECTO","12-04-01-001-0013","Respondido","2021-05-12 14:43:11"
"__export__.ept_com_comunicaciones_21126","SINCO/E/2021-0000018459","PROCEDIMIENTO PARA EL CAMBIO DE CORREO ELECTRÓNICO","06-03-01-001-0020","Respondido","2021-05-12 14:12:15"
"__export__.ept_com_comunicaciones_21125","SINCO/E/2021-0000018458","PROCEDIMIENTO PARA EL CAMBIO DE CORREO ELECTRÓNICO","CC-RUR-2016-06-00019","Respondido","2021-05-12 13:18:51"
"__export__.ept_com_comunicaciones_21124","SINCO/E/2021-0000018457","PROCESO DE VALORACION DEL PROYECTO","CC-URB-2017-09-00023","Enviado","2021-05-12 13:03:11"
"__export__.ept_com_comunicaciones_21123","SINCO/E/2021-0000018456","PROCEDIMIENTO PARA EL CAMBIO DE CORREO ELECTRÓNICO","12-04-02-001-0013","Respondido","2021-05-12 12:45:47"
"__export__.ept_com_comunicaciones_21122","SINCO/E/2021-0000018455","PROCEDIMIENTO PARA EL CAMBIO DE CORREO ELECTRÓNICO","12-08-01-001-0009","Respondido","2021-05-12 10:46:30"
"__export__.ept_com_comunicaciones_21121","SINCO/E/2021-0000018454","PROCESO DE VALORACION DEL PROYECTO","C-MIX-2014-08-0002","Respondido","2021-05-12 03:37:01"
"__export__.ept_com_comunicaciones_21120","SINCO/E/2021-0000018453","PROCESO DE VALORACION DEL PROYECTO","C-MIX-2014-08-0002","Respondido","2021-05-12 03:29:01"
"__export__.ept_com_comunicaciones_21119","SINCO/E/2021-0000018452","PROCEDIMIENTO PARA EL CAMBIO DE CORREO ELECTRÓNICO","12-08-01-001-0009","Respondido","2021-05-12 03:25:31"
"__export__.ept_com_comunicaciones_21118","SINCO/E/2021-0000018451","CAMBIO DE VOCERIA RESPONSABLE DEL PROYECTO","C-MIX-2018-03-0054","Respondido","2021-05-12 01:34:21"
