External.ID,Referencia,Monto.en.petro
__export__.sinco_project_45966,CCO-21-18-13-00001,77.8189859215
__export__.sinco_project_45970,COM-21-13-03-00001,170.42
__export__.sinco_project_45971,CCO-21-09-14-00001,115.03
__export__.sinco_project_45972,CCO-21-19-07-00001,66.12
__export__.sinco_project_45982,CCO-21-20-01-00001,147.11
__export__.sinco_project_45983,CCO-21-12-13-00001,147.11
__export__.sinco_project_45984,CCO-21-10-01-00001,58.59
__export__.sinco_project_45987,CCO-21-10-01-00003,78.26
__export__.sinco_project_45989,CCO-21-10-05-00001,147.11
__export__.sinco_project_45992,CCO-21-07-02-00001,109.01
__export__.sinco_project_45995,CCO-21-10-01-00005,147.11
__export__.sinco_project_46001,CCO-21-19-07-00003,76.2931234525
__export__.sinco_project_46003,CCO-21-19-07-00005,96.6379563731
__export__.sinco_project_46016,CCO-21-08-06-00003,288.293064186
__export__.sinco_project_46025,CCO-21-10-05-00007,49.7299767293
__export__.sinco_project_46033,CCO-21-10-05-00010,129.297939496
__export__.sinco_project_46037,CCO-21-08-02-00002,240.798761358
__export__.sinco_project_46038,CCO-21-10-05-00012,74.1597642724
__export__.sinco_project_46053,CCO-21-19-02-00001,91.95
__export__.sinco_project_46062,CCO-21-08-06-00010,287.81
__export__.sinco_project_46073,CCO-21-08-01-00003,265.422567338
__export__.sinco_project_46079,CCO-21-19-07-00009,127.16
__export__.sinco_project_46082,CCO-21-08-02-00011,78.88
__export__.sinco_project_46083,CCO-21-10-01-00009,58.0528319445
__export__.sinco_project_46085,CCO-21-18-10-00001,149.97
__export__.sinco_project_46091,CCO-21-10-05-00022,89.0086440279
__export__.sinco_project_46096,CCO-21-10-05-00023,147.11
__export__.sinco_project_46097,CCO-21-08-09-00004,205.605075291
__export__.sinco_project_46111,CCO-21-10-05-00027,147.11
__export__.sinco_project_46116,CCO-21-18-04-00003,279.814700834
__export__.sinco_project_46119,CCO-21-10-05-00028,147.11
__export__.sinco_project_46145,CCO-21-08-06-00021,235.76
__export__.sinco_project_46146,COM-21-08-05-00001,147.11
__export__.sinco_project_46152,CCO-21-19-07-00012,177.920243868
__export__.sinco_project_46154,CCO-21-11-09-00001,211.04
__export__.sinco_project_46158,CCO-21-08-02-00021,165.69
__export__.sinco_project_46160,CCO-21-08-09-00005,170.34
__export__.sinco_project_46165,CCO-21-08-09-00006,231.689160583
__export__.sinco_project_46168,CCO-21-10-05-00030,119.76
__export__.sinco_project_46169,CCO-21-10-01-00011,113.76
__export__.sinco_project_46173,CCO-21-10-05-00031,87.0274592763
__export__.sinco_project_46180,CCO-21-10-05-00033,107.79
__export__.sinco_project_46186,CCO-21-10-01-00012,76.743796833
__export__.sinco_project_46189,CCO-21-10-05-00035,113.281321689
__export__.sinco_project_46192,COM-21-12-12-00001,147.11
__export__.sinco_project_46195,CCO-21-10-01-00013,137.31
__export__.sinco_project_46197,CCO-21-18-04-00004,75.69
__export__.sinco_project_46204,CCO-21-08-02-00025,261.921905338
__export__.sinco_project_46208,CCO-21-18-04-00005,89.78
__export__.sinco_project_46216,CCO-21-10-01-00014,74.1182061598
__export__.sinco_project_46221,CCO-21-10-05-00037,57.479110581
__export__.sinco_project_46225,CCO-21-10-05-00038,70.4582645832
__export__.sinco_project_46229,CCO-21-19-14-00001,161.019579726
__export__.sinco_project_46230,CCO-21-10-01-00015,72.3911428128
__export__.sinco_project_46237,CCO-21-12-12-00001,147.11
__export__.sinco_project_46242,CCO-21-12-20-00001,140.77
__export__.sinco_project_46243,CCO-21-08-09-00014,140.52617867
__export__.sinco_project_46247,CCO-21-02-02-00001,102.5
__export__.sinco_project_46252,CCO-21-08-09-00016,151.260817319
__export__.sinco_project_46254,CCO-21-08-05-00014,264.63
__export__.sinco_project_46261,CCO-21-10-01-00016,72.7156000712
__export__.sinco_project_46267,CCO-21-08-09-00019,351.344547519
__export__.sinco_project_46272,CCO-21-10-05-00040,56.4895140964
__export__.sinco_project_46275,CCO-21-08-06-00036,286.5
__export__.sinco_project_46276,CCO-21-08-09-00021,131.711302297
__export__.sinco_project_46281,CCO-21-08-06-00040,188.59
__export__.sinco_project_46294,COM-21-18-04-00001,372.272684333
__export__.sinco_project_46296,CCO-21-08-06-00045,241.96
__export__.sinco_project_46324,CCO-21-18-04-00007,37.92
__export__.sinco_project_46325,CCO-21-08-01-00011,281.7
__export__.sinco_project_46332,CCO-21-17-08-00002,142.33
__export__.sinco_project_46336,CCO-21-08-01-00012,278.49
__export__.sinco_project_46353,CCO-21-12-01-00001,109.529013406
__export__.sinco_project_46379,CCO-21-08-06-00075,271.363527792
__export__.sinco_project_46394,CCO-21-08-07-00028,226.84
__export__.sinco_project_46395,CCO-21-08-07-00029,276.837644644
__export__.sinco_project_46398,CCO-21-08-07-00030,150.85
__export__.sinco_project_46399,CCO-21-10-01-00018,58.1484698085
__export__.sinco_project_46403,CCO-21-10-05-00043,116.099037374
__export__.sinco_project_46404,CCO-21-10-05-00044,60.685884259
__export__.sinco_project_46405,CCO-21-12-02-00001,154.926689693
__export__.sinco_project_46410,CCO-21-18-04-00008,67.6735423568
__export__.sinco_project_46417,CCO-21-09-13-00001,184.523076317
__export__.sinco_project_46425,CCO-21-12-12-00003,147.11
__export__.sinco_project_46436,CCO-21-12-12-00005,147.11
__export__.sinco_project_46438,CCO-21-10-05-00047,215.37
__export__.sinco_project_46440,CCO-21-12-04-00002,147.11
__export__.sinco_project_46441,CCO-21-12-12-00006,147.11
__export__.sinco_project_46445,CCO-21-10-08-00001,147.11
__export__.sinco_project_46448,CCO-21-08-06-00092,280.646756315
__export__.sinco_project_46454,CCO-21-08-06-00095,210.488195829
__export__.sinco_project_46475,COM-21-19-09-00001,147.11
__export__.sinco_project_46477,CCO-21-08-02-00045,93.13
__export__.sinco_project_46482,CCO-21-10-08-00002,238.4
__export__.sinco_project_46486,CCO-21-10-08-00003,147.11
__export__.sinco_project_46522,CCO-21-20-10-00004,37.7265651221
__export__.sinco_project_46524,CCO-21-10-07-00001,34.6197344179
__export__.sinco_project_46531,CCO-21-10-05-00051,179.39
__export__.sinco_project_46538,COM-21-18-02-00001,147.11
__export__.sinco_project_46543,CCO-21-10-01-00021,84.8111930176
__export__.sinco_project_46548,CCO-21-19-07-00013,158.85
__export__.sinco_project_46550,CCO-21-17-08-00003,142.33
__export__.sinco_project_46561,CCO-21-08-06-00113,322.07
__export__.sinco_project_46566,CCO-21-18-04-00011,139.84975106
__export__.sinco_project_46568,CCO-21-12-08-00001,50.0
__export__.sinco_project_46571,CCO-21-08-06-00115,266.58
__export__.sinco_project_46576,CCO-21-18-04-00012,177.210135451
__export__.sinco_project_46595,CCO-21-10-03-00002,151.30892258
__export__.sinco_project_46604,CCO-21-12-13-00003,144.01
__export__.sinco_project_46608,CCO-21-07-02-00002,96.7164419957
__export__.sinco_project_46611,CCO-21-08-08-00009,258.69
__export__.sinco_project_46624,CCO-21-21-09-00001,147.11
__export__.sinco_project_46627,CCO-21-18-05-00007,147.11
__export__.sinco_project_46631,CCO-21-18-05-00008,210.91
__export__.sinco_project_46632,CCO-21-17-08-00004,193.391100987
__export__.sinco_project_46642,CCO-21-12-01-00002,106.058515325
__export__.sinco_project_46646,CCO-21-14-06-00004,147.11
__export__.sinco_project_46649,CCO-21-09-08-00001,200.0
__export__.sinco_project_46650,CCO-21-08-03-00009,129.37
__export__.sinco_project_46653,COM-21-21-14-00001,147.11
__export__.sinco_project_46654,CCO-21-19-07-00015,145.676112882
__export__.sinco_project_46655,CCO-21-21-14-00001,102.98
__export__.sinco_project_46657,COM-21-19-04-00001,271.93
__export__.sinco_project_46661,CCO-21-10-05-00054,70.64
__export__.sinco_project_46664,CCO-21-12-08-00004,29.42
__export__.sinco_project_46665,CCO-21-19-08-00001,152.47
__export__.sinco_project_46666,CCO-21-17-08-00005,147.11
__export__.sinco_project_46668,CCO-21-10-05-00055,55.2598054866
__export__.sinco_project_46669,CCO-21-10-03-00003,105.072532707
__export__.sinco_project_46670,CCO-21-07-03-00003,72.2906244895
__export__.sinco_project_46694,CCO-21-10-05-00056,111.006734409
__export__.sinco_project_46705,CCO-21-15-05-00002,186.531066463
__export__.sinco_project_46709,CCO-21-09-24-00023,165.385115813
__export__.sinco_project_46711,CCO-21-12-08-00005,89.65
__export__.sinco_project_46718,CCO-21-18-12-00001,38.0370182536
__export__.sinco_project_46720,CCO-21-08-03-00010,280.17
__export__.sinco_project_46721,CCO-21-18-04-00018,95.01
__export__.sinco_project_46736,CCO-21-12-16-00002,142.33
__export__.sinco_project_46745,COM-21-21-21-00001,42.3189177419
__export__.sinco_project_46746,CCO-21-18-04-00019,41.7294651935
__export__.sinco_project_46748,CCO-21-19-10-00003,157.041381039
__export__.sinco_project_46754,CCO-21-10-08-00011,150.99
__export__.sinco_project_46755,CCO-21-13-15-00001,137.38
__export__.sinco_project_46759,CCO-21-08-08-00012,268.27
__export__.sinco_project_46762,CCO-21-10-08-00012,325.75
__export__.sinco_project_46768,CCO-21-05-01-00009,147.11
__export__.sinco_project_46769,CCO-21-13-15-00002,102.64
__export__.sinco_project_46774,CCO-21-05-01-00010,147.11
__export__.sinco_project_46777,CCO-21-05-01-00011,147.11
__export__.sinco_project_46778,CCO-21-12-13-00005,111.92
__export__.sinco_project_46780,CCO-21-18-04-00020,54.4859668475
__export__.sinco_project_46781,CCO-21-05-01-00012,147.11
__export__.sinco_project_46783,CCO-21-09-12-00003,268.337076919
__export__.sinco_project_46785,COM-21-21-14-00002,115.79868416
__export__.sinco_project_46787,CCO-21-08-06-00141,286.2
__export__.sinco_project_46805,CCO-21-22-01-00001,84.5802513284
__export__.sinco_project_46811,COM-21-12-04-00001,147.11
__export__.sinco_project_46815,CCO-21-22-01-00002,137.31
__export__.sinco_project_46819,CCO-21-12-18-00001,207.621491282
__export__.sinco_project_46820,CCO-21-10-03-00007,156.206843957
__export__.sinco_project_46821,CCO-21-12-04-00003,147.11
__export__.sinco_project_46823,COM-21-11-09-00001,177.44
__export__.sinco_project_46824,CCO-21-22-01-00003,147.11
__export__.sinco_project_46826,CCO-21-10-01-00033,101.73992387
